SR NO.,COLLEGE NAME,COURSE,GENERAL,SEBC,SC,ST,EWS,Other Board,PH-VH,Ex - Serv.,Parsi
1,"College of Agriculture, JAU,Junagadh",B.Sc. (Hons.) Agriculture,80.3833,80.2500,74.5166,62.5333,80.8666,66.8333,48.9166,46.5000,-
2,"B. A. College of Agriculture, AAU, Anand",B.Sc. (Hons.) Agriculture,80.2333,80.5333,74.8833,66.8666,79.9666,69.7976,51.7333,51.7666,-
3,"N. M. College of Agriculture, NAU, Navsari",B.Sc. (Hons.) Agriculture,78.5833,76.7833,69.9833,69.5166,76.5666,62.9166,44.7000,49.6666,-
4,"College of Agriculture, AAU, Jabugam",B.Sc. (Hons.) Agriculture,71.4000,69.9666,66.3500,59.1666,70.0666,56.5476,37.7000,-,-
5,"CP College of Agriculture, SDAU, Sardarkrushinagar",B.Sc. (Hons.) Agriculture,78.1000,76.7666,73.9166,58.9666,76.7000,65.7142,48.4000,53.0666,-
6,"College of Agriculture, NAU, Bharuch",B.Sc. (Hons.) Agriculture,72.8000,71.6000,64.9833,64.4666,71.8166,55.5000,-,-,-
7,"College of Agriculture, SDAU, Tharad",B.Sc. (Hons.) Agriculture,73.5666,72.0166,72.7500,57.0833,71.2333,58.4285,-,-,-
8,"College of Agriculture, AAU, Vaso",B.Sc. (Hons.) Agriculture,74.7166,73.1666,73.5166,60.4333,72.0166,61.8928,-,-,-
9,"ASPEE College of Agriculture,JAU, Khapat (Porbandar)",B.Sc. (Hons.) Agriculture,71.7666,69.7333,62.6666,55.4166,69.9500,53.0000,-,-,-
10,"Collegeof Agriculture, JAU, Jamnagar (Currently at Targhadiya Dist.: Rajkot)",B.Sc. (Hons.) Agriculture,71.7666,69.7333,62.6666,55.4166,69.9500,53.0000,-,-,-
11,"College of Agriculture, Morbi (Currently at Junagadh)",B.Sc. (Hons.) Agriculture,75.1166,73.4166,67.7333,58.6833,74.8500,62.9285,-,-,-
12,"College of Agriculture, JAU, Mota Bhandariya (Amreli)",B.Sc. (Hons.) Agriculture,73.9333,71.4166,64.3833,56.4666,71.6000,59.8452,-,-,-
13,"College of Agriculture, NAU, Waghai",B.Sc. (Hons.) Agriculture,70.0500,69.4500,63.0500,66.6500,69.2166,52.8333,-,-,-
14,"College of Agriculture, SDAU, Bhuj (Currently at Bhachau))",B.Sc. (Hons.) Agriculture,70.7666,69.9000,65.6000,54.2000,69.4000,62.0000,-,-,-
15,"ASPEE College of Horticulture, NAU, Navsari",B.Sc. (Hons.) Horticulture,68.7000,67.7166,61.2833,63.0833,67.1500,53.5119,65.6166,-,-
16,"College of Horticulture,JAU, Junagadh",B.Sc. (Hons.) Horticulture,69.2500,68.2166,60.8666,56.1000,66.9833,51.5714,44.0166,-,-
17,"College of Horticulture, SDAU, Jagudan",B.Sc. (Hons.) Horticulture,67.7000,67.0333,61.7833,54.583,65.9666,51.0833,-,-,-
18,"College of Horticulture, AAU, Anand",B.Sc. (Hons.) Horticulture,68.5500,67.7833,62.8000,58.9000,66.4333,54.7619,-,-,-
19,"College of Forestry, NAU, Navsari",B.Sc. (Hons.) Forestry,66.7000,66.0333,60.1166,58.4666,65.7833,51.3452,-,-,-
20,"College of Basic Science & Humanities,SDAU,Sardarkrushinagar",B.Tech. (Bio Technology),67.0000,66.0000,61.5000,55.0000,65.7000,51.2000,-,-,-
21,"ASPEE Shakilam Biotechnology Institute, NAU, Surat.",B.Tech. (Bio Technology),66.5000,65.9000,60.6000,57.8666,68.8500,51.5000,-,-,-
